Yr,Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1983,8,Artis Gilmore,33,SAS,0.0,33.0,750,0.044,82,34.1,18.0,12.0,1.5,0.5,2.3,.626,.000,.740,11.0,.189
1983,9,George Gervin,30,SAS,0.0,30.0,750,0.040,78,36.3,26.2,4.6,3.4,1.1,0.9,.487,.364,.853,9.4,.159
1983,10,Kareem Abdul-Jabbar,35,LAL,0.0,15.0,750,0.020,79,32.3,21.8,7.5,2.5,0.8,2.2,.588,.000,.749,10.9,.205
1983,11,Jack Sikma,27,SEA,0.0,13.0,750,0.017,75,34.2,18.2,11.4,3.1,1.2,0.9,.464,.000,.837,9.8,.183
1983,12,Jeff Ruland,24,WSB,0.0,12.0,750,0.016,79,36.2,19.4,11.0,3.0,0.9,1.0,.552,.333,.689,10.1,.169
1983,13,Terry Cummings,21,SDC,0.0,10.0,750,0.013,70,36.2,23.7,10.6,2.5,1.8,0.9,.523,.000,.709,8.7,.164
1983,14,Maurice Lucas,30,PHO,0.0,9.0,750,0.012,77,33.6,16.5,10.4,2.8,0.7,0.6,.474,.333,.781,7.1,.132
1983,15,Alton Lister,24,MIL,0.0,5.0,750,0.007,80,23.6,8.4,7.1,1.4,0.6,2.2,.529,,.537,3.8,.096
1983,16,Bernard King,26,NYK,0.0,4.0,750,0.005,68,32.5,21.9,4.8,2.9,1.3,0.2,.528,.000,.722,7.5,.163
1983,17,Isiah Thomas,21,DET,0.0,4.0,750,0.005,81,38.2,22.9,4.0,7.8,2.5,0.4,.472,.288,.710,7.4,.115
1983,18,Larry Drew,24,KCK,0.0,3.0,750,0.004,75,35.9,20.1,2.8,8.1,1.7,0.1,.492,.125,.820,7.2,.128
1983,19,Gus Williams,29,SEA,0.0,3.0,750,0.004,80,34.5,20.0,2.6,8.0,2.3,0.3,.477,.047,.751,8.5,.148
1983,20,Dan Roundfield,29,ATL,0.0,2.0,750,0.003,77,36.5,19.0,11.4,2.9,0.8,1.5,.470,.185,.749,7.4,.127
1983,21,Marques Johnson,26,MIL,0.0,1.5,750,0.002,80,35.7,21.4,7.0,4.5,1.3,0.7,.509,.200,.735,10.7,.180
1983,22,Norm Nixon,27,LAL,0.0,1.0,750,0.001,79,34.3,15.1,2.6,7.2,1.3,0.1,.475,.000,.744,3.9,.069
1983,23,Kiki Vandeweghe,24,DEN,0.0,1.0,750,0.001,82,35.5,26.7,5.3,2.5,0.8,0.5,.547,.294,.875,11.0,.182
1984,1,Larry Bird,27,BOS,52.0,652.0,760,0.858,79,38.3,24.2,10.1,6.6,1.8,0.9,.492,.247,.888,13.6,.215
1984,2,Bernard King,27,NYK,11.0,373.0,760,0.491,77,34.6,26.3,5.1,2.1,1.0,0.2,.572,.000,.779,12.1,.218
1984,3,Magic Johnson,24,LAL,5.0,305.0,760,0.401,67,38.3,17.6,7.3,13.1,2.2,0.7,.565,.207,.810,10.2,.191
1984,4,Kareem Abdul-Jabbar,36,LAL,3.0,153.0,760,0.201,80,32.8,21.5,7.3,2.6,0.7,1.8,.578,.000,.723,8.9,.163
1984,5,Isiah Thomas,22,DET,1.0,115.0,760,0.151,82,36.7,21.3,4.0,11.1,2.5,0.4,.462,.338,.733,9.1,.144
1984,6,Julius Erving,33,PHI,1.0,98.0,760,0.129,77,34.8,22.4,6.9,4.0,1.8,1.8,.512,.333,.754,10.1,.180
1984,7,Adrian Dantley,28,UTA,1.0,88.0,760,0.116,79,37.8,30.6,5.7,3.9,0.8,0.1,.558,.250,.859,14.6,.235
1984,8,Sidney Moncrief,26,MIL,1.0,70.0,760,0.092,79,38.9,20.9,6.7,4.5,1.4,0.3,.498,.278,.848,12.7,.198
1984,9,Jeff Ruland,25,WSB,1.0,38.0,760,0.050,75,41.1,22.2,12.3,3.9,0.9,1.0,.579,.143,.733,9.3,.144
1984,10,Moses Malone,28,PHI,0.0,35.0,760,0.046,71,36.8,22.7,13.4,1.4,1.0,1.5,.483,.000,.750,9.5,.175
1984,11,Mark Aguirre,24,DAL,0.0,28.0,760,0.037,79,36.7,29.5,5.9,4.5,1.0,0.3,.524,.268,.749,9.0,.149
1984,12,Bill Laimbeer,26,DET,0.0,9.0,760,0.012,82,34.9,17.3,12.2,1.8,0.6,1.0,.530,.000,.866,10.8,.181
1984,13,Rickey Green,29,UTA,0.0,8.0,760,0.011,81,34.2,13.2,2.8,9.2,2.7,0.2,.486,.118,.821,7.9,.138
1984,14,World B. Free,30,CLE,0.0,1.0,760,0.001,75,31.7,22.3,2.9,3.0,1.3,0.1,.445,.319,.784,5.3,.107
1984,15,Marques Johnson,27,MIL,0.0,1.0,760,0.001,74,36.7,20.7,6.5,4.3,1.6,0.6,.502,.154,.709,8.6,.152
