Year,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Playoffs,Losing_season
1996,Miami Heat,42,40,0.512,18.0,96.5,95.0,1.46,Y,N
1996,Washington Bullets,39,43,0.47600000000000003,21.0,102.5,101.5,0.99,N,Y
1996,Boston Celtics,33,49,0.402,27.0,103.6,107.0,-3.37,N,Y
1996,New Jersey Nets,30,52,0.366,30.0,93.7,97.9,-4.14,N,Y
1996,Philadelphia 76ers,18,64,0.22,42.0,94.5,104.5,-9.45,N,Y
1996,Chicago Bulls,72,10,0.878,—,105.2,92.9,11.8,Y,N
1996,Indiana Pacers,52,30,0.634,20.0,99.3,96.1,3.11,Y,N
1996,Cleveland Cavaliers,47,35,0.573,25.0,91.1,88.5,2.49,Y,N
1996,Atlanta Hawks,46,36,0.561,26.0,98.3,97.1,1.29,Y,N
1996,Detroit Pistons,46,36,0.561,26.0,95.4,92.9,2.45,Y,N
1996,Charlotte Hornets,41,41,0.5,31.0,102.8,103.4,-0.48,N,N
1996,Milwaukee Bucks,25,57,0.305,47.0,95.6,100.9,-4.92,N,Y
1996,Toronto Raptors,21,61,0.256,51.0,97.5,105.0,-7.2,N,Y
1996,San Antonio Spurs,59,23,0.72,—,103.4,97.1,5.98,Y,N
1996,Utah Jazz,55,27,0.6709999999999999,4.0,102.5,95.9,6.25,Y,N
1996,Houston Rockets,48,34,0.585,11.0,102.5,100.7,1.63,Y,N
1996,Denver Nuggets,35,47,0.42700000000000005,24.0,97.7,100.4,-2.62,N,Y
1996,Minnesota Timberwolves,26,56,0.317,33.0,97.9,103.2,-5.14,N,Y
1996,Dallas Mavericks,26,56,0.317,33.0,102.5,107.5,-4.71,N,Y
1996,Vancouver Grizzlies,15,67,0.183,44.0,89.8,99.8,-9.55,N,Y
1996,Seattle SuperSonics,64,18,0.78,—,104.5,96.7,7.4,Y,N
1996,Los Angeles Lakers,53,29,0.6459999999999999,11.0,102.9,98.5,4.21,Y,N
1996,Portland Trail Blazers,44,38,0.537,20.0,99.3,97.0,2.21,Y,N
1996,Phoenix Suns,41,41,0.5,23.0,104.3,104.0,0.28,Y,N
1996,Sacramento Kings,39,43,0.47600000000000003,25.0,99.5,102.3,-2.62,Y,Y
1996,Golden State Warriors,36,46,0.439,28.0,101.6,103.1,-1.42,N,Y
1996,Los Angeles Clippers,29,53,0.354,35.0,99.4,103.0,-3.46,N,Y
1997,Miami Heat,61,21,0.7440000000000001,—,94.8,89.3,5.56,Y,N
1997,New York Knicks,57,25,0.695,4.0,95.4,92.2,3.31,Y,N
1997,Orlando Magic,45,37,0.5489999999999999,16.0,94.1,94.5,-0.07,Y,N
1997,Washington Bullets,44,38,0.537,17.0,99.4,97.7,1.77,Y,N
1997,New Jersey Nets,26,56,0.317,35.0,97.2,101.8,-3.89,N,Y
1997,Philadelphia 76ers,22,60,0.268,39.0,100.2,106.7,-5.89,N,Y
1997,Boston Celtics,15,67,0.183,46.0,100.6,107.9,-6.62,N,Y
1997,Chicago Bulls,69,13,0.841,—,103.1,92.3,10.7,Y,N
1997,Atlanta Hawks,56,26,0.6829999999999999,13.0,94.8,89.4,5.52,Y,N
1997,Detroit Pistons,54,28,0.659,15.0,94.2,88.9,5.45,Y,N
1997,Charlotte Hornets,54,28,0.659,15.0,98.9,97.0,2.13,Y,N
1997,Cleveland Cavaliers,42,40,0.512,27.0,87.5,85.6,2.32,N,N
